Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Lucid Air Dream Edition P,N/A,,https://ev-database.org/car/1098/Lucid-Air-Dream-Edition-P,Not Available,Jan 2022 - Jan 2024,Jan 2022 - Jan 2024,,,,,,,500 km,15 min,266 km,766 km,4h 33min,2h 25min,7h 13min,118.0 kWh,Lithium-ion,6600,800 V,8 years,"160,000 km",,No Data,220s30p,799 V,Cylindrical,Samsung 50G,CCS,Left Side - Front,22 kW AC,,1000 km/h,300 kW DC,185 kW DC,No,Yes,ISO 15118-2,Yes,No,2.7 sec,270 km/h,,828 kW (1126 PS),1390 Nm,AWD,Announced,No Data,No Data,No Data,Announced,Announced,Announced,Announced,,,0 g/km,,783 km,166 Wh/km,151 Wh/km,1.9 l/100km,1.7 l/100km,4975 mm,1936 mm,2196 mm,1409 mm,2960 mm,2435 kg,2850 kg,490 kg,627 L,1835 L,283 L,No Data,No,0 kg,0 kg,0 kg,5 people,No Data,12 m,No Data,No Data,Sedan,F - Luxury,No Data,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,118.0 kWh,,,,90%,91%,2022,78%,84%,,,189 Wh/km,241 Wh/km,211 Wh/km,127 Wh/km,184 Wh/km,153 Wh/km,,670 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6h30m,22.0,0,0
Porsche Taycan 4S Cross Turismo,N/A,,https://ev-database.org/car/1930/Porsche-Taycan-4S-Cross-Turismo,Jan 2023 - Feb 2024,Jan 2023 - Feb 2024,Jan 2023 - Feb 2023,197 Wh/km,262 Wh/km,226 Wh/km,134 Wh/km,204 Wh/km,167 Wh/km,323 km,15 min,222 km,545 km,2h 56min,2h 1min,5h 12min,93.4 kWh,Lithium-ion,396,800 V,8 years,"160,000 km",83.7 kWh,NMC712,198s2p,725 V,Pouch,No Data,CCS,Passenger Side - Front,11 kW AC,,970 km/h,268 kW DC,200 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,4.1 sec,240 km/h,440 km,420 kW (571 PS),650 Nm,AWD,No,-,-,-,No,No,No,No,440 km,190 Wh/km,0 g/km,2.1 l/100km,415 km,248 Wh/km,202 Wh/km,2.8 l/100km,2.3 l/100km,4974 mm,1967 mm,2144 mm,1409 mm,2904 mm,2320 kg,2885 kg,640 kg,446 L,1212 L,84 L,75 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",12 m,VAG J1,Yes,Station/Estate,F - Luxury,No,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Driver's Side - Front,,,9 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
VinFast VF 6 Eco,N/A,,https://ev-database.org/car/3281/VinFast-VF-6-Eco,Not Available,Since March 2025,Since March 2025,192 Wh/km,265 Wh/km,225 Wh/km,130 Wh/km,209 Wh/km,166 Wh/km,226 km,15 min,95 km,322 km,2h 3min,52min,3h 10min,,Lithium-ion,No Data,400 V,8 years,"160,000 km",59.6 kWh,No Data,No Data,No Data,No Data,No Data,CCS,Left Side - Front,7.4 kW AC,,450 km/h,100 kW DC,90 kW DC,Yes,No,-,No Data,No Data,10.3 sec,150 km/h,315 km,130 kW (177 PS),250 Nm,Front,No,-,-,-,No,No,No,No,315 km,189 Wh/km,0 g/km,2.1 l/100km,410 km,195 Wh/km,145 Wh/km,2.2 l/100km,1.6 l/100km,4238 mm,1820 mm,No Data,1594 mm,2730 mm,2050 kg,2402 kg,427 kg,No Data,No Data,No Data,No Data,No,0 kg,0 kg,0 kg,5 people,No Data,No Data,No Data,No Data,SUV,JD - Large,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,62.0 kWh,,,,,,9h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Opel Mokka-e,N/A,,https://ev-database.org/car/1278/Opel-Mokka-e,Apr 2021 - Dec 2021,Mar 2021 - Nov 2021,Feb 2021 - Nov 2021,182 Wh/km,257 Wh/km,215 Wh/km,122 Wh/km,206 Wh/km,160 Wh/km,180 km,15 min,93 km,273 km,1h 38min,51min,2h 44min,50.0 kWh,Lithium-ion,216,400 V,8 years,"160,000 km",46.3 kWh,NMC622,108s2p,400 V,Prismatic,No Data,CCS,Left Side - Rear,7.4 kW AC,,380 km/h,101 kW DC,74 kW DC,Yes,No,-,No,No,9.0 sec,150 km/h,255 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,255 km,182 Wh/km,0 g/km,2.0 l/100km,318 km,178 Wh/km,146 Wh/km,2.0 l/100km,1.6 l/100km,4151 mm,1790 mm,1986 mm,1525 mm,2557 mm,1598 kg,2015 kg,492 kg,310 L,1060 L,0 L,0 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",11.1 m,PSA e-CMP,No,SUV,JB - Compact,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,73%,75%,2021,58%,64%,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Kia EV4 Fastback 81.4 kWh,N/A,,https://ev-database.org/car/3122/Kia-EV4-Fastback-814-kWh,Since July 2025,Since July 2025,Since July 2025,163 Wh/km,214 Wh/km,184 Wh/km,105 Wh/km,163 Wh/km,132 Wh/km,372 km,15 min,161 km,533 km,3h 23min,1h 28min,5h 6min,81.4 kWh,Lithium-ion,No Data,400 V,7 years,"150,000 km",,NMC,No Data,343 V,No Data,No Data,CCS,Right Side - Front,11 kW AC,,640 km/h,135 kW DC,105 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,7.7 sec,170 km/h,510 km,150 kW (204 PS),283 Nm,Front,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,Announced,No,Announced,No,510 km,153 Wh/km,0 g/km,1.7 l/100km,612 km,149 Wh/km,127 Wh/km,1.7 l/100km,1.4 l/100km,4730 mm,1860 mm,No Data,1480 mm,2820 mm,1900 kg,2355 kg,530 kg,490 L,1415 L,0 L,75 kg,Yes,750 kg,1000 kg,100 kg,5 people,"Yes, 2 seats",10.9 m,HMG E-GMP,Yes,Sedan,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,78.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volvo ES90 Single Motor (MY26),N/A,,https://ev-database.org/car/3128/Volvo-ES90-Single-Motor,Since March 2025,Since March 2025,Since March 2025,187 Wh/km,251 Wh/km,215 Wh/km,127 Wh/km,193 Wh/km,159 Wh/km,357 km,15 min,228 km,584 km,3h 15min,2h 4min,5h 34min,92.0 kWh,Lithium-ion,No Data,800 V,8 years,"160,000 km",88.0 kWh,NMC,No Data,No Data,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,880 km/h,310 kW DC,170 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.6 sec,180 km/h,485 km,245 kW (333 PS),480 Nm,Rear,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,485 km,181 Wh/km,0 g/km,2.0 l/100km,626 km,166 Wh/km,141 Wh/km,1.9 l/100km,1.6 l/100km,5000 mm,1942 mm,2120 mm,1546 mm,3102 mm,2410 kg,2900 kg,565 kg,446 L,1256 L,22 L,75 kg,Yes,750 kg,1600 kg,100 kg,5 people,"Yes, 2 seats",11.8 m,Volvo SPA2,Yes,Liftback Sedan,F - Luxury,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Ford Capri Extended Range AWD (MY25),N/A,,https://ev-database.org/car/2242/Ford-Capri-Extended-Range-AWD,Jul 2024 - Jan 2026,Jul 2024 - Jan 2026,Jul 2024 - Jan 2026,,,,,,,335 km,15 min,183 km,517 km,3h 3min,1h 40min,4h 58min,84.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",79.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,730 km/h,185 kW DC,135 kW DC,No,Yes,ISO 15118-2,Yes,Yes,5.3 sec,180 km/h,,250 kW (340 PS),679 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,534 km,165 Wh/km,148 Wh/km,1.9 l/100km,1.7 l/100km,4643 mm,1872 mm,2063 mm,1626 mm,2767 mm,2175 kg,2745 kg,645 kg,572 L,1510 L,0 L,75 kg,Yes,750 kg,1200 kg,75 kg,5 people,"Yes, 2 seats",10.8 m,VAG MEB,Yes,Liftback Sedan,D - Large,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,8h30m,,,,,,,,,,178 Wh/km,239 Wh/km,205 Wh/km,119 Wh/km,186 Wh/km,150 Wh/km,,455 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Kia e-Soul 39.2 kWh,N/A,,https://ev-database.org/car/1750/Kia-e-Soul-392-kWh,Sep 2022 - May 2024,Sep 2022 - Nov 2023,Oct 2022 - Nov 2022,,,,,,,163 km,15 min,46 km,209 km,1h 29min,25min,2h 9min,,Lithium-ion,180,400 V,7 years,"150,000 km",39.2 kWh,No Data,90s2p,327 V,No Data,No Data,CCS,Front Side - Left,7.2 kW AC,,200 km/h,44 kW DC,37 kW DC,Yes,No,-,No,No,9.9 sec,157 km/h,,100 kW (136 PS),395 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,276 km,156 Wh/km,142 Wh/km,1.8 l/100km,1.6 l/100km,4195 mm,1800 mm,No Data,1605 mm,2600 mm,1610 kg,2025 kg,490 kg,315 L,1339 L,No Data,100 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",10.6 m,No Data,No Data,SUV,JB - Compact,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,170 Wh/km,245 Wh/km,201 Wh/km,112 Wh/km,187 Wh/km,148 Wh/km,,230 km,,,,,6h30m,,42.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0,0
Mercedes-Benz EQE SUV 350 4MATIC (MY23),N/A,,https://ev-database.org/car/1761/Mercedes-Benz-EQE-SUV-350-4MATIC,Feb 2023 - Jan 2024,Dec 2022 - Oct 2023,Jun 2023 - Oct 2023,,,,,,,311 km,15 min,141 km,453 km,2h 50min,1h 17min,4h 22min,,Lithium-ion,No Data,400 V,No Data,No Data,89.0 kWh,No Data,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,540 km/h,170 kW DC,120 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.6 sec,210 km/h,,215 kW (292 PS),765 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,459 km,225 Wh/km,194 Wh/km,2.5 l/100km,2.2 l/100km,4863 mm,1940 mm,2141 mm,1685 mm,3030 mm,2580 kg,3095 kg,590 kg,520 L,1675 L,0 L,No Data,Yes,750 kg,1800 kg,No Data,5 people,No Data,12.3 m,Mercedes-Benz EVA2,Yes,SUV,JE - Executive,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,9h45m,212 Wh/km,287 Wh/km,247 Wh/km,147 Wh/km,228 Wh/km,185 Wh/km,,425 km,2760 kg,49% / 51%,1360 kg,1400 kg,,,98.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
CUPRA Born 170 kW - 79 kWh (MY27),N/A,,https://ev-database.org/car/3512/CUPRA-Born-170-kW---79-kWh,Not Available,Not Available,Since April 2026,168 Wh/km,229 Wh/km,195 Wh/km,110 Wh/km,176 Wh/km,141 Wh/km,351 km,15 min,176 km,527 km,3h 12min,1h 36min,5h 3min,84.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",79.0 kWh,NMC,96s3p,353 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,670 km/h,183 kW DC,115 kW DC,No,Yes,ISO 15118-2,Yes,Yes,7.0 sec,160 km/h,485 km,170 kW (231 PS),350 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,485 km,163 Wh/km,0 g/km,1.8 l/100km,540 km,146 Wh/km,146 Wh/km,1.6 l/100km,1.6 l/100km,4322 mm,1809 mm,2070 mm,1540 mm,2766 mm,1964 kg,2420 kg,531 kg,385 L,1267 L,0 L,0 kg,Yes,0 kg,0 kg,75 kg,5 people,"Yes, 3 seats",10.2 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
CUPRA Raval VZ,N/A,,https://ev-database.org/car/3510/CUPRA-Raval-VZ,Not Available,Since April 2026,Since April 2026,168 Wh/km,236 Wh/km,196 Wh/km,111 Wh/km,182 Wh/km,144 Wh/km,224 km,15 min,113 km,337 km,2h 2min,1h 2min,3h 19min,56.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",52.0 kWh,NMC,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,540 km/h,105 kW DC,95 kW DC,No,Yes,ISO 15118-2,Yes,Yes,6.8 sec,175 km/h,310 km,166 kW (226 PS),290 Nm,Front,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,310 km,168 Wh/km,0 g/km,1.9 l/100km,380 km,162 Wh/km,137 Wh/km,1.8 l/100km,1.5 l/100km,4046 mm,1784 mm,2000 mm,1514 mm,2599 mm,1615 kg,2090 kg,550 kg,441 L,No Data,0 L,75 kg,Yes,750 kg,1200 kg,75 kg,5 people,"Yes, 3 seats",11 m,VAG MEB+,Yes,Hatchback,B - Compact,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen e-Caravelle L2 210 kW 64 kWh,N/A,,https://ev-database.org/car/3320/Volkswagen-e-Caravelle-L2-210-kW-64-kWh,Since April 2025,Since March 2025,Since March 2025,245 Wh/km,365 Wh/km,304 Wh/km,177 Wh/km,297 Wh/km,232 Wh/km,173 km,15 min,74 km,247 km,1h 35min,40min,2h 30min,,Lithium-ion,No Data,400 V,8 years,"160,000 km",63.8 kWh,NMC,No Data,303 V,No Data,No Data,CCS,Right Side - Front,11 kW AC,,270 km/h,125 kW DC,75 kW DC,No,No Data,No Data,No Data,No Data,7.4 sec,150 km/h,245 km,210 kW (286 PS),415 Nm,Rear,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,245 km,260 Wh/km,0 g/km,2.9 l/100km,277 km,270 Wh/km,230 Wh/km,3.0 l/100km,2.6 l/100km,5450 mm,1999 mm,2275 mm,1968 mm,3500 mm,2560 kg,3350 kg,865 kg,1000 L,5490 L,0 L,170 kg,Yes,750 kg,2000 kg,80 kg,9 people,No Data,13.8 m,No Data,No,Small Passenger Van,N - Passenger Van,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,68.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Ford Explorer Extended Range RWD (MY24),N/A,,https://ev-database.org/car/3105/Ford-Explorer-Extended-Range-RWD,Not Available,Sep 2024 - Feb 2025,Sep 2024 - Oct 2024,180 Wh/km,247 Wh/km,211 Wh/km,120 Wh/km,193 Wh/km,153 Wh/km,323 km,15 min,176 km,500 km,2h 56min,1h 36min,4h 47min,84.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",79.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,720 km/h,185 kW DC,135 kW DC,No,Yes,ISO 15118-2,Yes,Yes,8.5 sec,160 km/h,450 km,150 kW (204 PS),310 Nm,Rear,No,-,-,-,No,No,No,No,450 km,176 Wh/km,0 g/km,2.0 l/100km,505 km,176 Wh/km,156 Wh/km,2.0 l/100km,1.8 l/100km,4468 mm,1872 mm,2063 mm,1639 mm,2767 mm,2080 kg,2665 kg,660 kg,536 L,1422 L,0 L,75 kg,Yes,750 kg,1200 kg,75 kg,5 people,"Yes, 2 seats",9.7 m,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,89%,86%,2024,80%,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen ID.3 Pro S,N/A,,https://ev-database.org/car/1203/Volkswagen-ID3-Pro-S,Nov 2020 - Aug 2021,Not Available,Nov 2020 - Aug 2021,,,,,,,325 km,15 min,154 km,479 km,2h 57min,1h 24min,4h 36min,82.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",77.0 kWh,NMC721,96s3p,352 V,Pouch,No Data,CCS,Right Side - Rear,11 kW AC,,570 km/h,175 kW DC,103 kW DC,No,Yes,ISO 15118-2,No,No,7.9 sec,160 km/h,,150 kW (204 PS),310 Nm,Rear,No,10.0 kW DC,-,-,No,Announced,No,Announced,,,0 g/km,,542 km,157 Wh/km,142 Wh/km,1.8 l/100km,1.6 l/100km,4261 mm,1809 mm,2070 mm,1568 mm,2771 mm,1934 kg,2280 kg,421 kg,385 L,1267 L,0 L,0 kg,No Data,0 kg,0 kg,No Data,4 people,"Yes, 3 seats",10.2 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,87%,89%,2020,71%,88%,,,175 Wh/km,241 Wh/km,203 Wh/km,117 Wh/km,186 Wh/km,148 Wh/km,,450 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
